;;;;;;;;;;;;;;;;;;;;;;;H;A;H;A;H;A
2019;29;Jan;03:30;USA;NBA;2018/2019;Los Angeles Clippers;Atlanta Hawks;LAC;ATL;25;32;A;O;;;118;123;A;O;5;241;1,41;3,22;1,41;3,18;1,23;4,25
2019;29;Jan;01:00;USA;NBA;2018/2019;Memphis Grizzlies;Denver Nuggets;MEM;DEN;30;16;H;U;;;92;95;A;U;3;187;2,7;1,37;2,77;1,51;2,7;1,5
2019;29;Jan;00:30;USA;NBA;2018/2019;Boston Celtics;Brooklyn Nets;BOS;BKN;32;26;H;O;;;112;104;H;O;8;216;1,16;4,55;1,19;5,42;1,18;5,25
2019;29;Jan;00:00;USA;NBA;2018/2019;Charlotte Hornets;New York Knicks;CHA;NYK;30;24;H;O;;;101;92;H;U;9;193;1,12;8;1,13;7,38;1,11;7
2019;29;Jan;00:00;USA;NBA;2018/2019;Indiana Pacers;Golden State Warriors;IND;GSW;22;40;A;O;;;100;132;A;O;32;232;4;1,24;3,85;1,31;3,8;1,27
2019;28;Jan;02:30;USA;NBA;2018/2019;Los Angeles Lakers;Phoenix Suns;LAL;PHX;31;27;H;O;;;116;102;H;O;14;218;1,35;2,9;1,39;3,28;1,26;4
2019;28;Jan;00:30;USA;NBA;2018/2019;New York Knicks;Miami Heat;NYK;MIA;26;25;H;O;;;97;106;A;O;9;203;2,65;1,42;2,96;1,46;2,9;1,43
2019;28;Jan;00:00;USA;NBA;2018/2019;Dallas Mavericks;Toronto Raptors;DAL;TOR;32;38;A;O;;;120;123;A;O;3;243;2,4;1,52;2,43;1,63;2,45;1,6
2019;28;Jan;00:00;USA;NBA;2018/2019;Houston Rockets;Orlando Magic;HOU;ORL;18;34;A;O;;;103;98;H;O;5;201;1,21;3,36;1,29;4,04;1,22;4,5
2019;28;Jan;00:00;USA;NBA;2018/2019;Minnesota Timberwolves;Utah Jazz;MIN;UTA;22;25;A;U;;;111;125;A;O;14;236;2,64;1,56;2,62;1,56;2,45;1,6
